Description,Frequency
Service Defined,450.1
General Incident,457.0375
Portable Repeaters,457.0875
Fixed Site Repeaters,457.1375
Command Support,457.1875
BA Sector,457.2375
BA Communications,457.4875
Portable Repeaters,462.5875
Fixed Site Repeaters,462.6375
Incident Defined,464.1
