Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
31,Marine VHF Channel 21 Ship to Shore Port Ops Duplex (shore 161.650),157.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
32,Marine VHF Channel 21 Shore to Ship Port Ops Duplex (shore 157.050),161.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
33,Marine VHF Channel 22 Ship to Shore Port Ops Duplex (shore 161.700),157.1,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
34,Marine VHF Channel 22 Shore to Ship Port Ops Duplex (shore 157.100),161.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
35,Marine VHF Channel 23 Ship to Shore Public & Coastguard Medilink Duplex (shore 161.750),157.15,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
36,Marine VHF Channel 23 Shore to Ship Public & Coastguard Medilink Duplex (shore 157.150),161.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
37,Marine VHF Channel 24 Ship to Shore Public Duplex (shore 161.800),157.2,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
38,Marine VHF Channel 24 Shore to Ship Public Duplex (shore 157.200),161.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
39,Marine VHF Channel 25 Ship to Shore Public Duplex (shore 161.850),157.25,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
40,Marine VHF Channel 25 Shore to Ship Public Duplex (shore 157.250),161.85,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
41,Marine VHF Channel 26 Ship to Shore Public Duplex (shore 161.900),157.3,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
42,Marine VHF Channel 26 Shore to Ship Public Duplex (shore 157.300),161.9,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
43,Marine VHF Channel 27 Ship to Shore Public Duplex (shore 161.950),157.35,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
44,Marine VHF Channel 27 Shore to Ship Public Duplex (shore 157.350),161.95,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
45,Marine VHF Channel 28 Ship to Shore Public Duplex (shore 162.000),157.4,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
46,Marine VHF Channel 28 Shore to Ship Public Duplex (shore 157.400),162.0,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
47,Marine VHF Channel 29 Private,157.45,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
48,Marine VHF Channel 30 Private,157.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
49,Marine VHF Channel 31 RNLI Launch & Recovery Training,157.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
50,Marine VHF Channel 32 Private,157.6,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
51,Marine VHF Channel 33 Private,157.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
52,Marine VHF Channel 34 Private,157.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
53,Marine VHF Channel 35 Private,157.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
54,Marine VHF Channel 36 Tugs,157.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
55,Marine VHF Channel 37 M1 Marinas & Yacht Clubs,157.85,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
56,Marine VHF Channel 38 Private,157.9,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
57,Marine VHF Channel 39 Private,157.95,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
58,Marine VHF Channel 40 Private,158.0,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
59,Marine VHF Channel 41 Private,158.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
60,Marine VHF Channel 42 Private,158.1,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
61,Marine VHF Channel 43 Private,158.15,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
62,Marine VHF Channel 44 Private,158.2,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
63,Marine VHF Channel 45 Private,158.25,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
64,Marine VHF Channel 46 Private,158.3,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
65,Marine VHF Channel 47 Private,158.35,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
66,Marine VHF Channel 48 Private,158.4,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
67,Marine VHF Channel 49 Private,158.45,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
68,Marine VHF Channel 50 Coastguard Inshore Rescue,158.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
69,Marine VHF Channel 60 Ship to Shore Public & Port Ops Duplex (Shore 160.625),156.025,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
70,Marine VHF Channel 60 Shore to Ship Public & Port Ops Duplex (Shore 156.025),160.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
71,Marine VHF Channel 61 Ship to Shore Public & Port Ops Duplex (Shore 160.675),156.075,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
72,Marine VHF Channel 61 Shore to Ship Public & Port Ops Duplex (Shore 156.075),160.675,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
73,Marine VHF Channel 62 Ship to Shore Public & Port Ops Duplex (Shore 160.725),156.125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
74,Marine VHF Channel 62 Shore to Ship Public & Port Ops Duplex (Shore 156.125),160.725,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
75,Marine VHF Channel 63 Ship to Shore Public & Port Ops Duplex (Shore 160.775),156.175,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
76,Marine VHF Channel 63 Shore to Ship Public & Port Ops Duplex (Shore 156.175),160.775,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
77,Marine VHF Channel 64 Ship to Shore Public & Port Ops Duplex (Shore 160.825),156.225,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
78,Marine VHF Channel 64 Shore to Ship Public & Port Ops Duplex (Shore 156.225),160.825,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
79,Marine VHF Channel 65 Ship to Shore Public & Port Ops Duplex (Shore 160.875),156.275,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
80,Marine VHF Channel 65 Shore to Ship Public & Port Ops Duplex (Shore 156.275),160.875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
81,Marine VHF Channel 66 Ship to Shore Public & Port Ops Duplex (Shore 160.925),156.325,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
82,Marine VHF Channel 66 Shore to Ship Public & Port Ops Duplex (Shore 156.325),160.925,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
83,Marine VHF Channel 67 UK Small Craft Irish SAR,156.375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
84,Marine VHF Channel 68 Port Ops,156.425,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
