Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
33,EGHC (LANDS END) TOWER,455.4875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
34,EGNM (LEEDS BRADFORD) UNKNOWN,455.4875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
35,EGNM (LEEDS BRADFORD) UNKNOWN,455.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
36,EGNM (LEEDS BRADFORD) TOWER,455.6125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
37,EGNM (LEEDS BRADFORD) UNKNOWN,455.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
38,EGGP (LIVERPOOL) UNKNOWN,455.6375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
39,EGGP (LIVERPOOL) GROUND,455.4875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
40,EGGP (LIVERPOOL) GROUND,455.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
41,EGLL (LONDON CITY) TOWER,455.7125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
42,EGLL (LONDON HEATHROW) UNKNOWN,455.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
43,EGLL (LONDON HEATHROW) TOWER,455.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
44,EGLL (LONDON HEATHROW) TOWER,455.525,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
45,EGLL (LONDON HEATHROW) GROUND,455.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
46,EGGW (LONDON LUTON) TOWER,455.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
47,EGGW (LONDON LUTON) GROUND,455.825,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
48,EGTK (LONDON OXFORD) TOWER,455.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
49,EGTK (LONDON OXFORD) TOWER,455.6375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
50,EGTK (LONDON OXFORD) TOWER,455.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
51,EGTK (LONDON OXFORD) TOWER,455.5625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
52,EGTK (LONDON OXFORD) TOWER,455.6,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
53,EGSS (LONDON STANSTED) TOWER,455.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
54,EGMD (LYDD) TOWER,455.8375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
55,EGCC (MANCHESTER) GROUND,455.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
56,EGCC (MANCHESTER) UNKNOWN,455.525,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
57,EGCC (MANCHESTER) TOWER,455.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
58,EGMH (MANSTON (DISUSED)) TOWER,455.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
59,EGNT (NEWCASTLE) TOWER,455.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
60,EGNS (RONALDSWAY) TOWER,455.6875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
61,EGCN (SHEFFIELD CITY (DISUSED)) UNKNOWN,455.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
62,EGCN (SHEFFIELD CITY (DISUSED)) UNKNOWN,455.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
63,EGCN (SHEFFIELD CITY (DISUSED)) UNKNOWN,455.8125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
64,EGFH (SWANSEA) TOWER,455.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
65,EGNO (WARTON) UNKNOWN,455.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
66,EGPC (WICK JON O' GROATS) GROUND,455.8125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,UHF Airport Uplinks (455-456MHz),,,,
