Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
39,V34,145.425,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
40,V35,145.4375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
41,V36,145.45,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
42,V37,145.4625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
43,V38,145.475,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
44,V39,145.4875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
45,V40 FM Calling Channel,145.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
46,V41,145.5125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
47,V42,145.525,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
48,V43,145.5375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
49,V44,145.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
50,V45,145.5625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
51,V46,145.57,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
52,RBW00,433.0,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
53,RBW01,433.0125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
54,RBW02,433.025,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
55,RBW03,433.0375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
56,RBW04,433.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
57,RBW05,433.0625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
58,RBW06,433.075,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
59,RBW07,433.0875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
60,RBW08,433.1,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
61,RBW09,433.1125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
62,RBW10,433.125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
63,RBW11,433.1375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
64,RBW12,433.15,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
65,RBW13,433.1625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
66,RBW14,433.175,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
67,RBW15,433.1875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
68,RBW16,433.2,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
69,RBW17,433.2125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
70,RBW18,433.225,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
71,RBW19,433.2375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
72,RBW20,433.25,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
73,RBW21,433.2625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
74,RBW22,433.275,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
75,RBW23,433.2875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
76,RBW24,433.3,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
77,RBW25,433.3125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
78,RBW26,433.325,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
79,RBW27,433.3375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
80,RBW28,433.35,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
81,RBW29,433.3625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
82,RBW30,433.375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
83,RU65,430.8125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
84,RU66,430.825,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
