Description,Frequency
SAR,417.5
SAR Helimed,417.525
MOD,417.575
Coastguard,419.1125
Coastguard,419.1375
Onboard Comms,419.1875
SAR,419.5875
SAR RAF,449.5375
SAR Navy,449.6875
SAR RAF,449.7375
